,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
175,José Canale,DF,py Paraguay,29-362,1996,1.8,0,0,0,1,2,0,1,1,6,,,0,Matches,97d24b73
176,João Cancelo,DF,pt Portugal,32-051,1994,3.5,0,0,0,6,2,1,17,5,4,,,0,Matches,bd6351cd
177,Agustín Canobbio,FW,uy Uruguay,27-289,1998,2.5,0,1,0,7,5,1,8,2,3,,,0,Matches,4f5a2f38
178,Casemiro,MF,br Brazil,34-144,1992,4.2,2,0,0,6,6,0,5,6,5,,,0,Matches,4d224fe8
179,Josué Casimir,MF,ht Haiti,24-296,2001,2.0,1,0,0,4,4,0,3,0,0,,,0,Matches,481f76cf
180,Timothy Castagne,DF,be Belgium,30-224,1995,5.3,1,0,0,7,2,0,20,8,7,,,0,Matches,197640fd
181,Kevin Castaño,MF,co Colombia,25-291,2000,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,c393c3d9
182,Jens Castrop,MF,kr Korea Republic,22-353,2003,0.5,0,0,0,3,0,0,3,0,0,,,0,Matches,03fee7de
183,Zeki Çelik,DF,tr Türkiye,29-150,1997,1.8,0,0,0,1,0,0,1,1,3,,,0,Matches,31a62dc7
184,Lukáš Červ,MF,cz Czechia,25-098,2001,1.8,0,0,0,3,3,0,0,0,3,,,0,Matches,bb4a41bc
185,Fares Chaïbi,MF,dz Algeria,23-231,2002,4.0,1,0,0,3,2,1,6,3,5,,,0,Matches,357103bd
186,Štěpán Chaloupek,DF,cz Czechia,23-131,2003,1.0,0,0,0,1,0,0,0,2,0,,,0,Matches,ded82b9a
187,Mouhib Chamakh,GK,tn Tunisia,24-326,2001,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches,9627f87b
188,Firas Chaouat,FW,tn Tunisia,30-070,1996,0.5,0,0,0,1,2,3,0,0,0,,,0,Matches,7fa8ef98
189,Luis Chávez,MF,mx Mexico,30-183,1996,0.3,0,0,0,1,0,0,1,0,1,,,0,Matches,e50949ea
190,Mateo Chávez,DF,mx Mexico,22-066,2004,0.9,0,0,0,1,1,0,1,0,1,,,0,Matches,f82246a1
191,Samir Chergui,DF,dz Algeria,27-161,1999,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,4b6ab1da
192,Rayan Cherki,FWMF,fr France,22-334,2003,0.9,0,0,0,2,1,0,1,1,1,,,0,Matches,b34c63a5
193,Mathieu Choinière,MF,ca Canada,27-160,1999,0.6,0,0,0,1,1,0,4,2,1,,,0,Matches,017459bb
194,Tahith Chong,MF,cw Curaçao,26-225,1999,2.7,0,0,0,3,13,0,1,1,0,,,0,Matches,2696b6a9
195,Tomáš Chorý,FW,cz Czechia,31-172,1995,0.3,0,0,0,2,1,0,0,0,0,,,0,Matches,163bbd4a
196,Ryan Christie,MF,sct Scotland,31-145,1995,1.1,1,0,0,2,1,0,1,2,3,,,0,Matches,26ce2263
197,Carney Chukwuemeka,MF,at Austria,22-270,2003,0.9,0,0,0,2,2,0,0,0,0,,,0,Matches,b2f9c73e
